ID,MINA,UF,MUNICIPIO,LATITUDE,LONGITUDE,RISCO
9534,MINA ALEGRIA,MG,MARIANA,-20.166339444444443,-43.48429138888889,Alta
9535,Nome da mina não informado,SP,ITAPETININGA,-23.66244,-48.001398888888886,Baixa
9537,Mina do Brumado,MG,SABARÁ,-19.818766666666665,-43.69519722222222,Média
9540,Nome da mina não informado,RO,MACHADINHO D'OESTE,-9.583333333333334,-62.39611111111111,Baixa
9545,Nome da mina não informado,PA,ORIXIMINÁ,-1.6694027777777776,-56.49225833333333,Baixa
9547,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.664294444444446,-56.35454722222222,Baixa
9548,Mina Santa Felicidade,MT,NOSSA SENHORA DO LIVRAMENTO,-15.661886111111112,-56.34405277777778,Média
9551,Berion,MT,PONTES E LACERDA,-15.132683333333334,-59.371611111111115,Média
9552,Helvio,MT,PONTES E LACERDA,-15.13543611111111,-59.376958333333334,Média
9553,Helvio,MT,PONTES E LACERDA,-15.135091666666666,-59.37916111111111,Média
9559,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.960463888888889,-56.47827222222222,Baixa
9560,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.923845833333333,-56.16356472222222,Média
9561,Nome da mina não informado,MT,PONTES E LACERDA,-15.181433333333333,-59.34515277777778,Alta
9564,Mina Fontanella,SC,TREVISO,-28.48306111111111,-49.451122222222224,Baixa
9565,Mina Fontanella,SC,TREVISO,-28.482441666666666,-49.45132777777778,Baixa
9575,Mina Santa Felicidade,MT,CUIABÁ,-15.664919444444445,-56.35050277777778,Média
9576,ESTÂNCIA SESMARIA,MT,NOSSA SENHORA DO LIVRAMENTO,-15.692475,-56.36550027777778,Alta
9578,Nome da mina não informado,MT,NOVA SANTA HELENA,-10.802486111111111,-55.18615555555555,Baixa
9581,Nome da mina não informado,SC,LAURO MÜLLER,-28.408819444444443,-49.42847777777777,Baixa
9582,Nome da mina não informado,SC,URUSSANGA,-28.456441666666667,-49.37055,Baixa
9585,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.905418888888889,-56.20308194444445,Baixa
9586,Nome da mina não informado,MT,NOVA SANTA HELENA,-10.802486111111111,-55.18615555555555,Baixa
9605,Mina Tucano,AP,PEDRA BRANCA DO AMAPARI,0.875675,-51.887058333333336,Baixa
9611,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.863437777777778,-56.224936944444444,Média
9624,Mina Moriá,MT,POCONÉ,-16.30282777777778,-56.6281975,Baixa
9626,Nome da mina não informado,MT,ROSÁRIO OESTE,-14.879138888888889,-56.57302777777778,Baixa
9629,Mina de Águas Claras,MG,NOVA LIMA,-19.96,-43.882777777777775,Alta
9630,Mina de Águas Claras,MG,NOVA LIMA,-19.965555555555554,-43.88527777777778,Alta
